27,13,22,6,20,19,27,27
27,1,22,4,20,5,27,27
27,4,22,8,20,12,27,27
27,10,22,4,20,14,27,27
27,5,22,8,20,13,27,27
27,7,22,9,20,16,27,27
27,13,22,3,20,16,27,27
27,2,22,7,20,9,27,27
27,8,22,8,20,16,27,27
27,15,22,1,20,16,27,27
27,18,22,1,20,19,27,27
27,6,22,10,20,16,27,27
27,14,22,1,20,15,27,27
27,10,22,5,20,15,27,27
27,17,22,2,20,19,27,27
27,6,22,1,20,7,27,27
27,4,22,9,20,13,27,27
27,18,22,1,20,19,27,27
27,15,22,4,20,19,27,27
27,1,22,2,20,3,27,27
27,10,22,1,20,11,27,27
27,11,22,5,20,16,27,27
27,4,22,15,20,19,27,27
27,12,22,3,20,15,27,27
27,3,22,1,20,4,27,27
27,1,22,5,20,6,27,27
27,6,22,7,20,13,27,27
27,9,22,5,20,14,27,27
27,18,22,1,20,19,27,27
27,16,22,1,20,17,27,27
27,10,22,9,20,19,27,27
27,2,22,2,20,4,27,27
27,8,22,10,20,18,27,27
27,4,22,7,20,11,27,27
27,12,22,7,20,19,27,27
27,1,22,15,20,16,27,27
27,4,22,6,20,10,27,27
27,13,22,2,20,15,27,27
27,11,22,5,20,16,27,27
27,12,22,5,20,17,27,27
27,7,22,5,20,12,27,27
27,16,22,1,20,17,27,27
27,4,22,13,20,17,27,27
27,5,22,5,20,10,27,27
27,9,22,5,20,14,27,27
27,4,22,11,20,15,27,27
27,16,22,2,20,18,27,27
27,17,22,2,20,19,27,27
27,6,22,10,20,16,27,27
27,4,22,1,20,5,27,27
27,6,22,1,20,7,27,27
27,18,22,1,20,19,27,27
27,5,22,3,20,8,27,27
27,17,22,2,20,19,27,27
27,4,22,3,20,7,27,27
27,11,22,6,20,17,27,27
27,17,22,2,20,19,27,27
27,10,22,1,20,11,27,27
27,11,22,3,20,14,27,27
27,12,22,3,20,15,27,27
27,3,22,10,20,13,27,27
27,3,22,15,20,18,27,27
27,4,22,15,20,19,27,27
27,4,22,3,20,7,27,27
27,15,22,4,20,19,27,27
27,18,22,1,20,19,27,27
27,15,22,2,20,17,27,27
27,2,22,5,20,7,27,27
27,11,22,7,20,18,27,27
27,12,22,1,20,13,27,27
27,12,22,3,20,15,27,27
27,17,22,1,20,18,27,27
27,1,22,7,20,8,27,27
27,15,22,3,20,18,27,27
27,9,22,9,20,18,27,27
27,3,22,4,20,7,27,27
27,3,22,12,20,15,27,27
27,14,22,1,20,15,27,27
27,9,22,9,20,18,27,27
27,9,22,3,20,12,27,27
27,4,22,13,20,17,27,27
27,15,22,1,20,16,27,27
27,5,22,4,20,9,27,27
27,14,22,4,20,18,27,27
27,14,22,2,20,16,27,27
