110 1 105 0 103 1 110 110
110 2 105 0 103 2 110 110
110 2 105 1 103 3 110 110
110 3 105 0 103 3 110 110
110 3 105 1 103 4 110 110
110 3 105 2 103 5 110 110
110 4 105 0 103 4 110 110
110 4 105 1 103 5 110 110
110 4 105 2 103 6 110 110
110 4 105 3 103 7 110 110
110 5 105 0 103 5 110 110
110 5 105 1 103 6 110 110
110 5 105 2 103 7 110 110
110 5 105 3 103 8 110 110
110 5 105 4 103 9 110 110
110 6 105 0 103 6 110 110
110 6 105 1 103 7 110 110
110 6 105 2 103 8 110 110
110 6 105 3 103 9 110 110
110 6 105 4 103 10 110 110
110 6 105 5 103 11 110 110
110 7 105 0 103 7 110 110
110 7 105 1 103 8 110 110
110 7 105 2 103 9 110 110
110 7 105 3 103 10 110 110
110 7 105 4 103 11 110 110
110 7 105 5 103 12 110 110
110 7 105 6 103 13 110 110
110 8 105 0 103 8 110 110
110 8 105 1 103 9 110 110
110 8 105 2 103 10 110 110
110 8 105 3 103 11 110 110
110 8 105 4 103 12 110 110
110 8 105 5 103 13 110 110
110 8 105 6 103 14 110 110
110 8 105 7 103 15 110 110
110 9 105 0 103 9 110 110
110 9 105 1 103 10 110 110
110 9 105 2 103 11 110 110
110 9 105 3 103 12 110 110
110 9 105 4 103 13 110 110
110 9 105 5 103 14 110 110
110 9 105 6 103 15 110 110
110 9 105 7 103 16 110 110
110 9 105 8 103 17 110 110
110 10 105 0 103 10 110 110
110 10 105 1 103 11 110 110
110 10 105 2 103 12 110 110
110 10 105 3 103 13 110 110
110 10 105 4 103 14 110 110
110 10 105 5 103 15 110 110
110 10 105 6 103 16 110 110
110 10 105 7 103 17 110 110
110 10 105 8 103 18 110 110
110 10 105 9 103 19 110 110
110 11 105 0 103 11 110 110
110 11 105 1 103 12 110 110
110 11 105 2 103 13 110 110
110 11 105 3 103 14 110 110
110 11 105 4 103 15 110 110
110 11 105 5 103 16 110 110
110 11 105 6 103 17 110 110
110 11 105 7 103 18 110 110
110 11 105 8 103 19 110 110
110 11 105 9 103 20 110 110
110 11 105 10 103 21 110 110
110 12 105 0 103 12 110 110
110 12 105 1 103 13 110 110
110 12 105 2 103 14 110 110
110 12 105 3 103 15 110 110
110 12 105 4 103 16 110 110
110 12 105 5 103 17 110 110
110 12 105 6 103 18 110 110
110 12 105 7 103 19 110 110
110 12 105 8 103 20 110 110
110 12 105 9 103 21 110 110
110 12 105 10 103 22 110 110
110 12 105 11 103 23 110 110
110 13 105 0 103 13 110 110
110 13 105 1 103 14 110 110
110 13 105 2 103 15 110 110
110 13 105 3 103 16 110 110
